ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12545749,JE450850,11/19/2021 07:38:00 PM,001XX N STATE ST,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,True,False,111.0,1.0,42.0,32.0,26,1176332.0,1901584.0,2021.0,11/26/2021 03:40:45 PM,41.885303483,-87.627930307,"(41.885303483, -87.627930307)"
12785334,JF346396,08/06/2022 09:00:00 AM,017XX N ST LOUIS AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1422.0,14.0,26.0,23.0,06,1152989.0,1911368.0,2022.0,01/03/2023 03:40:27 PM,41.912646265,-87.71339047,"(41.912646265, -87.71339047)"
12643237,JF174968,03/15/2022 02:45:00 PM,021XX E 71ST ST,0820,THEFT,$500 AND UNDER,GROCERY FOOD STORE,False,False,333.0,3.0,5.0,43.0,06,1191527.0,1858274.0,2022.0,01/03/2023 03:40:27 PM,41.766102387,-87.573539169,"(41.766102387, -87.573539169)"
12713297,JF259660,05/29/2022 05:15:00 AM,020XX N KEDZIE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1413.0,14.0,26.0,22.0,07,1154709.0,1913553.0,2022.0,01/03/2023 03:40:27 PM,41.918607801,-87.707012974,"(41.918607801, -87.707012974)"
12271334,JE114933,01/14/2021 11:15:00 PM,0000X W CHICAGO AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,1832.0,18.0,2.0,8.0,05,1175959.0,1905721.0,2021.0,01/21/2021 03:40:31 PM,41.896664035,-87.629175344,"(41.896664035, -87.629175344)"
12277103,JE121592,01/23/2021 11:30:00 PM,068XX S INDIANA AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,True,False,322.0,3.0,6.0,69.0,26,1178773.0,1859733.0,2021.0,01/30/2021 03:40:43 PM,41.770405683,-87.620242266,"(41.770405683, -87.620242266)"
12179288,JD383068,09/14/2020 08:00:00 AM,019XX W ERIE ST,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,1221.0,12.0,1.0,24.0,06,1163379.0,1904358.0,2020.0,10/02/2020 03:40:55 PM,41.893197887,-87.675417738,"(41.893197887, -87.675417738)"
12427512,JE302320,07/15/2021 01:20:00 PM,038XX W 18TH ST,0266,CRIMINAL SEXUAL ASSAULT,PREDATORY,APARTMENT,False,True,1014.0,10.0,24.0,29.0,02,1151159.0,1891108.0,2021.0,07/22/2021 03:41:50 PM,41.857086774,-87.720644875,"(41.857086774, -87.720644875)"
12149260,JD348082,08/28/2020 02:00:00 AM,077XX S COLFAX AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,421.0,4.0,7.0,43.0,06,1194864.0,1854159.0,2020.0,09/04/2020 03:40:59 PM,41.754728984,-87.561443469,"(41.754728984, -87.561443469)"
12227739,JD438465,11/20/2020 07:55:00 PM,057XX N RIDGE AVE,0810,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,False,False,2013.0,20.0,48.0,77.0,06,1165815.0,1938541.0,2020.0,12/17/2020 03:40:05 PM,41.986946162,-87.665493184,"(41.986946162, -87.665493184)"
12549953,JE453000,11/21/2021 06:15:00 PM,002XX N STATE ST,0460,BATTERY,SIMPLE,CTA TRAIN,False,False,111.0,1.0,42.0,32.0,08B,1176327.0,1901797.0,2021.0,11/28/2021 03:45:56 PM,41.885888079,-87.627942238,"(41.885888079, -87.627942238)"
12532865,JE434888,11/05/2021 08:00:00 AM,111XX S VINCENNES AVE,0620,BURGLARY,UNLAWFUL ENTRY,COMMERCIAL / BUSINESS OFFICE,False,False,2234.0,22.0,34.0,75.0,05,1167023.0,1830680.0,2021.0,11/12/2021 03:51:18 PM,41.690939166,-87.66414099,"(41.690939166, -87.66414099)"
12328416,JE184903,03/31/2021 02:15:00 AM,067XX S PAXTON AVE,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,False,True,331.0,3.0,5.0,43.0,04A,1192040.0,1860619.0,2021.0,04/07/2021 03:40:57 PM,41.772524794,-87.571582753,"(41.772524794, -87.571582753)"
12935749,JF526224,12/28/2022 10:50:00 AM,091XX S DOBSON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,413.0,4.0,8.0,47.0,14,1184811.0,1844683.0,2022.0,01/04/2023 03:41:19 PM,41.728967439,-87.598580725,"(41.728967439, -87.598580725)"
12302030,JE153154,02/26/2021 03:00:00 PM,085XX S ESSEX AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,423.0,4.0,7.0,46.0,11,1194317.0,1848786.0,2021.0,03/05/2021 03:41:12 PM,41.739998485,-87.56362416,"(41.739998485, -87.56362416)"
12355703,JE218184,05/03/2021 12:15:00 PM,011XX W 81ST ST,0560,ASSAULT,SIMPLE,DAY CARE CENTER,False,False,613.0,6.0,21.0,71.0,08A,1169920.0,1851084.0,2021.0,05/10/2021 03:40:27 PM,41.746868542,-87.652944476,"(41.746868542, -87.652944476)"
