ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year,Updated On
12813494,JF379616,2022-09-02 00:00:00,059XX W IOWA ST,0320,ROBBERY,STRONG ARM - NO WEAPON,STREET,True,False,1511,15,29,25,03,2022,2023-01-03 15:40:27
12522029,JE421981,2021-10-25 12:00:00,028XX N NEENAH AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2511,25,36,19,14,2021,2021-11-01 15:40:29
12516869,JE415556,2021-10-19 17:55:00,052XX S DREXEL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,233,2,5,41,08B,2021,2021-10-26 15:48:48
12204210,JD411868,2020-10-26 18:26:00,013XX E 47TH ST,041A,BATTERY,AGGRAVATED - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,222,2,4,39,04B,2020,2020-12-17 15:40:05
12752134,JF306648,2022-07-05 17:00:00,060XX S MORGAN ST,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,712,7,16,68,08A,2022,2023-01-03 15:40:27
12931870,JF521555,2022-12-24 07:48:00,072XX S FAIRFIELD AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,True,831,8,18,66,26,2022,2023-01-03 15:40:27
12573875,JE484824,2021-12-21 10:40:00,032XX W 63RD PL,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,823,8,23,66,08A,2021,2021-12-28 15:43:54
12915886,JF502226,2022-12-08 01:37:00,012XX N PULASKI RD,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,False,False,2535,25,37,23,03,2022,2023-01-03 15:40:27
12298182,JE148383,2021-02-22 04:12:00,065XX S PULASKI RD,0610,BURGLARY,FORCIBLE ENTRY,CONVENIENCE STORE,False,False,833,8,13,65,05,2021,2021-03-01 15:40:29
12839734,JF410838,2022-09-25 19:30:00,018XX W SUPERIOR ST,0810,THEFT,OVER $500,STREET,False,False,1221,12,1,24,06,2022,2023-01-03 15:40:27
12282507,JE128188,2021-01-31 08:00:00,020XX W JACKSON BLVD,0820,THEFT,$500 AND UNDER,CHA APARTMENT,False,False,1225,12,27,28,06,2021,2021-02-07 15:40:30
12023356,JD201539,2020-04-03 22:10:00,019XX W 18TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,True,False,1234,12,25,31,15,2020,2020-04-10 15:41:36
12613864,JF139026,2022-02-07 18:40:00,006XX S PLYMOUTH CT,0890,THEFT,FROM BUILDING,RESIDENCE - GARAGE,False,False,123,1,4,32,06,2022,2023-01-03 15:40:27
12775106,JF334343,2022-07-28 03:09:00,027XX N HOYNE AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,1931,19,1,7,04A,2022,2023-01-03 15:40:27
